Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC3,08/08/15,Arbroath,Elgin,0,3,A,0,2,A,1.75,3.75,4.5,1.7,3.75,3.9,1.7,3.7,4.05,1.7,3.6,4.2,1.78,3.97,4.53,1.83,3.75,4,1.75,3.9,4.5,41,1.83,1.71,3.97,3.7,4.53,4.1,34,1.67,1.61,2.3,2.18,20,-0.75,2,1.93,1.92,1.86
SC3,08/08/15,Berwick,Montrose,2,1,H,1,1,D,1.73,3.8,4.5,1.7,3.75,3.9,1.65,3.8,4.05,1.7,3.8,4,1.74,4.1,4.59,1.8,3.8,4.2,1.7,4.1,4.5,41,1.8,1.7,4.1,3.79,4.59,4.12,34,1.56,1.53,2.5,2.37,21,-0.75,1.95,1.9,1.96,1.9
SC3,08/08/15,East Stirling,East Fife,1,0,H,0,0,D,3.6,3.6,1.95,3.6,3.6,1.8,3.35,3.5,1.9,3.5,3.5,1.91,3.73,3.79,1.99,3.6,3.5,2,3.8,3.75,1.93,41,3.8,3.36,3.79,3.54,2.1,1.94,34,1.67,1.62,2.26,2.16,20,0.5,1.95,1.88,2,1.92
SC3,08/08/15,Queens Park,Annan Athletic,0,1,A,0,0,D,1.91,3.6,3.8,1.8,3.75,3.5,1.85,3.55,3.55,1.85,3.4,3.6,1.95,3.73,3.93,1.95,3.6,3.75,1.95,3.75,3.5,41,2.05,1.87,3.75,3.53,3.93,3.58,34,1.8,1.71,2.1,2.03,20,-0.5,1.95,1.88,2,1.92
SC3,08/08/15,Stirling,Clyde,0,1,A,0,0,D,2.2,3.4,3.2,2.05,3.3,3.1,2.15,3.35,2.9,2.15,3.5,3,2.28,3.7,3.11,2.38,3.5,2.8,2.3,3.7,2.7,41,2.38,2.21,3.7,3.42,3.2,2.85,34,1.76,1.7,2.13,2.06,20,-0.25,2,1.94,1.91,1.86
SC3,15/08/15,Annan Athletic,Stirling,1,1,D,0,0,D,2,4,3.2,2.05,3.5,3,1.95,3.45,3.25,2.15,3.5,3.25,2.03,3.74,3.63,2.15,3.75,3,2,3.75,3.5,42,2.15,2,4,3.52,3.63,3.23,35,1.74,1.66,2.3,2.11,18,-0.25,1.78,1.74,2.15,2.08
SC3,15/08/15,Clyde,Queens Park,0,2,A,0,0,D,1.91,3.6,3.75,1.78,3.5,3.75,1.9,3.35,3.55,2,3.3,3.8,2,3.6,3.88,2,3.6,3.6,1.95,3.6,3.8,42,2,1.9,3.7,3.42,4.33,3.59,40,1.93,1.84,2,1.9,22,-0.5,2,1.94,1.92,1.86
SC3,15/08/15,East Fife,Berwick,5,0,H,3,0,H,2.1,3.8,3.1,2.1,3.5,2.9,2.1,3.4,2.95,2.2,3.6,3,2.25,3.68,3.13,2.2,3.75,2.9,2.2,3.7,3.13,42,2.25,2.13,3.8,3.48,3.2,2.94,35,1.7,1.65,2.23,2.11,18,-0.5,2.24,2.14,1.74,1.7
SC3,15/08/15,Elgin,East Stirling,4,0,H,2,0,H,1.73,4,4.33,1.72,3.7,3.9,1.75,3.7,3.85,1.8,3.75,4.2,1.81,3.92,4.41,1.8,4,4,1.8,3.9,4.2,42,1.81,1.74,4,3.71,4.41,3.99,35,1.69,1.62,2.3,2.18,22,-0.75,2.08,1.99,1.86,1.81
SC3,15/08/15,Montrose,Arbroath,3,0,H,2,0,H,3.3,3.75,2,3.1,3.5,2,3.2,3.55,1.95,3.25,3.5,2.15,3.58,3.8,2.03,3.3,3.5,2,3.5,3.8,2,42,3.58,3.24,3.8,3.55,2.15,1.97,35,1.62,1.57,2.4,2.26,22,0.5,1.88,1.82,2.05,1.98
SC3,22/08/15,Arbroath,Queens Park,1,2,A,0,1,A,2.2,3.6,3,2.15,3.6,2.75,2.1,3.45,2.9,2.1,3.4,3,2.25,3.67,3.16,2.3,3.4,3,2.2,3.7,3.1,38,2.3,2.16,3.75,3.47,3.16,2.89,32,1.68,1.62,2.25,2.17,22,-0.25,1.96,1.9,1.95,1.9
SC3,22/08/15,East Fife,Elgin,2,1,H,1,1,D,2.1,3.75,3.1,2.15,3.6,2.75,2.05,3.5,3,2.05,3.4,3.1,2.18,3.7,3.26,2.25,3.6,3,2.1,3.75,3.25,38,2.25,2.1,3.8,3.52,3.26,2.99,32,1.63,1.59,2.38,2.24,22,-0.25,1.92,1.82,2.06,1.98
SC3,22/08/15,East Stirling,Annan Athletic,3,1,H,1,1,D,3.5,3.6,2,3.2,3.4,2,3.1,3.45,2,3.1,3.5,2,3.38,3.76,2.11,3.8,3.5,1.95,3.3,3.75,2.1,38,3.8,3.21,3.76,3.52,2.15,2.01,32,1.68,1.62,2.3,2.18,14,0.5,1.81,1.76,2.15,2.06
SC3,22/08/15,Montrose,Clyde,2,0,H,0,0,D,4,3.8,1.8,4.33,3.7,1.65,3.75,3.65,1.75,3.8,3.6,1.8,4.2,3.96,1.84,4,3.75,1.83,4,3.9,1.83,38,4.5,3.9,4,3.7,1.84,1.75,32,1.65,1.6,2.3,2.22,18,0.75,1.82,1.76,2.14,2.05
SC3,22/08/15,Stirling,Berwick,1,3,A,0,2,A,1.8,3.8,4,1.75,3.6,3.8,1.75,3.7,3.75,1.8,3.6,3.8,1.85,3.97,4.11,1.83,3.75,4,1.8,4,4.1,38,1.86,1.76,4,3.7,4.33,3.87,32,1.62,1.58,2.38,2.25,18,-0.75,2.11,2.04,1.82,1.77
SC3,29/08/15,Annan Athletic,Montrose,3,2,H,2,0,H,1.75,4,4.2,1.78,3.4,3.9,1.75,3.7,3.75,1.75,3.75,3.8,1.84,3.99,4.15,1.83,3.75,4,1.83,4,3.9,35,1.84,1.77,4,3.66,4.2,3.86,22,1.6,1.53,2.5,2.35,17,-0.75,2.11,2.03,1.83,1.77
SC3,29/08/15,Berwick,Arbroath,2,2,D,2,1,H,1.85,3.8,3.8,1.78,3.4,3.9,1.8,3.65,3.6,1.8,3.6,3.6,1.88,3.95,4.01,1.91,3.6,3.8,1.87,3.9,3.9,35,1.91,1.82,3.95,3.61,4.01,3.72,22,1.6,1.53,2.5,2.35,20,-0.5,1.9,1.83,2.02,1.97
SC3,29/08/15,Clyde,East Stirling,3,1,H,0,0,D,1.53,4.33,5.5,1.45,4,5.75,1.5,3.85,5.25,1.53,3.8,5.5,1.55,4.31,6.29,1.6,4,5.5,1.57,4.2,5.75,35,1.6,1.51,4.5,3.98,6.29,5.4,22,1.76,1.73,2.14,2.01,20,-1,2.06,1.97,1.92,1.82
